Date,Open,High,Low,Close,Adj Close,Volume
1984-08-15,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-16,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-17,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-20,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-21,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-22,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-23,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-24,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-27,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-28,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-29,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-30,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-08-31,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-04,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-05,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-06,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-07,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-10,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-11,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-12,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-13,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-14,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-17,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-18,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-19,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-20,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-21,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-24,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-25,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-26,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-27,10.000000,10.000000,10.000000,10.000000,4.592918,0
1984-09-28,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-01,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-02,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-03,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-04,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-05,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-08,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-09,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-10,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-11,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-12,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-15,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-16,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-17,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-18,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-19,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-22,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-23,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-24,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-25,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-26,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-29,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-30,9.200000,9.200000,9.200000,9.200000,4.225486,0
1984-10-31,8.790000,8.790000,8.790000,8.790000,4.037177,0
1984-11-01,8.790000,8.790000,8.790000,8.790000,4.037177,0
1984-11-02,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-05,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-06,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-07,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-08,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-09,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-12,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-13,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-14,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-15,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-16,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-19,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-20,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-21,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-23,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-26,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-27,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-28,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-29,8.790000,8.790000,8.790000,8.790000,4.045921,0
1984-11-30,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-03,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-04,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-05,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-06,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-07,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-10,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-11,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-12,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-13,8.190000,8.190000,8.190000,8.190000,3.769748,0
1984-12-14,8.190000,8.190000,8.190000,8.190000,3.769748,0
